===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MA_1_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,MACD_Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Bolling_2_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
99,,33,2020-10-23 00:00:00,14530.0,14745.0,14410.0,14425.0,725149.0,,MA_1_0,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,MACD_Strategy,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,Bolling_2_0,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,14193.85,,Trades - Net Profit/Loss,33,,
100,,34,2020-10-26 00:00:00,14470.0,14660.0,14330.0,14490.0,653007.0,,MA_1_0,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,MACD_Strategy,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,,,Trades - Net Profit/Loss,33,,,Bolling_2_0,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,14193.85,,Trades - Net Profit/Loss,33,,
101,,34,2020-10-26 00:00:00,14470.0,14660.0,14330.0,14490.0,653007.0,,MA_1_0,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,MACD_Strategy,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,Bolling_2_0,33,737721.0,Broker,33,104327.0,144717.0,BuySell,33,14193.85,,Trades - Net Profit/Loss,33,,
102,,34,2020-10-26 00:00:00,14470.0,14660.0,14330.0,14490.0,653007.0,,MA_1_0,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,MACD_Strategy,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,Bolling_2_0,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,14115.05,,Trades - Net Profit/Loss,34,,
103,,35,2020-10-27 00:00:00,14490.0,14590.0,14390.0,14480.0,519063.0,,MA_1_0,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,,,Trades - Net Profit/Loss,35,,,MACD_Strategy,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,,,Trades - Net Profit/Loss,34,,,Bolling_2_0,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,14115.05,,Trades - Net Profit/Loss,34,,
104,,35,2020-10-27 00:00:00,14490.0,14590.0,14390.0,14480.0,519063.0,,MA_1_0,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,,,Trades - Net Profit/Loss,35,,,MACD_Strategy,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,14174.15,,Trades - Net Profit/Loss,35,,,Bolling_2_0,34,737724.0,Broker,34,101957.5,147601.0,BuySell,34,14115.05,,Trades - Net Profit/Loss,34,,
105,,35,2020-10-27 00:00:00,14490.0,14590.0,14390.0,14480.0,519063.0,,MA_1_0,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,,,Trades - Net Profit/Loss,35,,,MACD_Strategy,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,14174.15,,Trades - Net Profit/Loss,35,,,Bolling_2_0,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
106,,36,2020-10-28 00:00:00,14500.0,14775.0,14420.0,14680.0,990744.0,,MA_1_0,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,,MACD_Strategy,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,14174.15,,Trades - Net Profit/Loss,35,,,Bolling_2_0,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
107,,36,2020-10-28 00:00:00,14500.0,14775.0,14420.0,14680.0,990744.0,,MA_1_0,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,,MACD_Strategy,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,14996.624999999998,Trades - Net Profit/Loss,36,,,Bolling_2_0,35,737725.0,Broker,35,96381.0,147061.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
108,,36,2020-10-28 00:00:00,14500.0,14775.0,14420.0,14680.0,990744.0,,MA_1_0,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,,MACD_Strategy,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,14996.624999999998,Trades - Net Profit/Loss,36,,,Bolling_2_0,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
109,,37,2020-10-29 00:00:00,14495.0,14585.0,14350.0,14435.0,591558.0,,MA_1_0,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,MACD_Strategy,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,14996.624999999998,Trades - Net Profit/Loss,36,,,Bolling_2_0,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
