date,open,close,high,low,volume
2010-03-25,16550.0,16560.0,16595.0,16490.0,0
2010-03-26,16490.0,16485.0,16510.0,16430.0,0
2010-03-29,16480.0,16475.0,16555.0,16460.0,0
2010-03-30,16510.0,16485.0,16510.0,16435.0,0
2010-03-31,16440.0,16435.0,16495.0,16410.0,0
2010-04-01,16490.0,16490.0,16520.0,16460.0,0
2010-04-02,16540.0,16640.0,16650.0,16535.0,0
2010-04-06,16690.0,16665.0,16695.0,16635.0,0
2010-04-07,16640.0,16615.0,16650.0,16575.0,0
2010-04-08,16550.0,16540.0,16575.0,16525.0,0
2010-04-09,16430.0,16455.0,16455.0,16380.0,0
2010-04-12,16440.0,16415.0,16470.0,16405.0,0
2010-04-13,16395.0,16415.0,16430.0,16380.0,0
2010-04-14,16415.0,16445.0,16540.0,16415.0,0
2010-04-15,16450.0,16435.0,16455.0,16420.0,0
2010-04-16,16485.0,16445.0,16485.0,16430.0,0
2010-04-19,16380.0,16320.0,16430.0,16295.0,0
2010-04-20,16390.0,16420.0,16420.0,16370.0,0
2010-04-21,16590.0,16570.0,16615.0,16510.0,0
2010-04-22,16540.0,16530.0,16550.0,16495.0,0
2010-04-23,16495.0,16570.0,16570.0,16495.0,0
2010-04-26,16560.0,16590.0,16600.0,16560.0,0
2010-04-27,16575.0,16630.0,16635.0,16560.0,0
2010-04-28,16600.0,16635.0,16650.0,16585.0,0
2010-04-29,16665.0,16730.0,16750.0,16645.0,0
2010-04-30,16685.0,16760.0,16760.0,16680.0,0
2010-05-04,16760.0,16800.0,16820.0,16725.0,0
2010-05-05,16725.0,16775.0,16775.0,16715.0,0
2010-05-06,16820.0,16835.0,16855.0,16820.0,0
2010-05-07,16760.0,16765.0,16815.0,16725.0,0
2010-05-10,16830.0,16865.0,16880.0,16805.0,0
2010-05-11,16880.0,16945.0,16980.0,16880.0,0
2010-05-12,16900.0,16965.0,16980.0,16900.0,0
2010-05-13,16980.0,17000.0,17020.0,16980.0,0
2010-05-14,17020.0,17065.0,17070.0,17000.0,0
2010-05-17,17095.0,17200.0,17420.0,17095.0,0
2010-05-18,17480.0,17300.0,17480.0,17160.0,0
2010-05-19,17255.0,17420.0,17500.0,17230.0,0
2010-05-20,17440.0,17285.0,17445.0,17250.0,0
2010-05-21,17230.0,17155.0,17250.0,17110.0,0
2010-05-24,17155.0,17075.0,17245.0,16980.0,0
2010-05-25,17085.0,16950.0,17160.0,16940.0,0
2010-05-26,17000.0,17080.0,17090.0,16955.0,0
2010-05-27,17090.0,17060.0,17145.0,17040.0,0
2010-05-28,17050.0,16895.0,17070.0,16860.0,0
2010-05-31,16765.0,16840.0,16900.0,16750.0,0
2010-06-01,16880.0,16930.0,16940.0,16815.0,0
2010-06-02,16860.0,16640.0,16890.0,16550.0,0
2010-06-03,16670.0,16670.0,16700.0,16550.0,0
2010-06-04,16600.0,16645.0,16670.0,16520.0,0
2010-06-07,16485.0,16355.0,16500.0,16275.0,0
2010-06-08,16360.0,16540.0,16545.0,16360.0,0
2010-06-09,16620.0,16870.0,16880.0,16605.0,0
2010-06-10,16990.0,16910.0,17050.0,16885.0,0
2010-06-11,16990.0,17000.0,17020.0,16875.0,0
2010-06-17,17115.0,17060.0,17120.0,16985.0,0
2010-06-18,17010.0,16810.0,17075.0,16790.0,0
2010-06-21,16895.0,16835.0,17000.0,16740.0,0
2010-06-22,16800.0,16815.0,16820.0,16720.0,0
2010-06-23,16830.0,17085.0,17100.0,16825.0,0
2010-06-24,17065.0,17115.0,17135.0,17025.0,0
2010-06-25,17150.0,17155.0,17245.0,17100.0,0
2010-06-28,17170.0,17240.0,17250.0,17120.0,0
2010-06-29,17190.0,17180.0,17280.0,17145.0,0
2010-06-30,17110.0,17280.0,17285.0,17110.0,0
2010-07-01,17180.0,17045.0,17180.0,17035.0,0
2010-07-02,17050.0,17130.0,17135.0,17030.0,0
2010-07-05,17080.0,16910.0,17080.0,16895.0,0
2010-07-06,16845.0,16960.0,16985.0,16845.0,0
2010-07-07,16875.0,16845.0,16875.0,16810.0,0
2010-07-08,16920.0,16900.0,16935.0,16885.0,0
2010-07-09,16865.0,16760.0,16865.0,16755.0,0
2010-07-12,16820.0,16605.0,16840.0,16555.0,0
2010-07-13,16520.0,16450.0,16605.0,16445.0,0
2010-07-14,16550.0,16540.0,16615.0,16515.0,0
2010-07-15,16425.0,16465.0,16530.0,16380.0,0
2010-07-16,16515.0,16605.0,16620.0,16485.0,0
2010-07-19,16585.0,16730.0,16750.0,16585.0,0
2010-07-20,16675.0,16660.0,16705.0,16620.0,0
2010-07-21,16605.0,16500.0,16610.0,16480.0,0
2010-07-22,16580.0,16580.0,16630.0,16550.0,0
2010-07-23,16675.0,16615.0,16685.0,16610.0,0
2010-07-26,16675.0,16680.0,16725.0,16665.0,0
2010-07-27,16720.0,16520.0,16750.0,16520.0,0
2010-07-28,16515.0,16610.0,16610.0,16490.0,0
2010-07-29,16590.0,16690.0,16735.0,16570.0,0
2010-07-30,16750.0,16830.0,16850.0,16675.0,0
2010-08-02,16950.0,16940.0,17055.0,16925.0,0
2010-08-03,16970.0,17035.0,17070.0,16890.0,0
2010-08-04,17110.0,17010.0,17150.0,17005.0,0
2010-08-05,17000.0,16945.0,17045.0,16915.0,0
2010-08-06,17000.0,17085.0,17090.0,16985.0,0
2010-08-09,17130.0,17050.0,17130.0,16995.0,0
2010-08-10,17010.0,17200.0,17285.0,17010.0,0
2010-08-11,17250.0,17290.0,17375.0,17230.0,0
2010-08-12,17260.0,17285.0,17380.0,17255.0,0
2010-08-13,17500.0,17575.0,17610.0,17470.0,0
2010-08-16,17630.0,17560.0,17630.0,17530.0,0
2010-08-17,17530.0,17475.0,17530.0,17460.0,0
2010-08-18,17465.0,17500.0,17565.0,17450.0,0
2010-08-19,17500.0,17510.0,17560.0,17405.0,0
2010-08-20,17460.0,17270.0,17565.0,17265.0,0
2010-08-23,17320.0,17320.0,17365.0,17300.0,0
2010-08-24,17340.0,17435.0,17500.0,17285.0,0
2010-08-25,17550.0,17510.0,17590.0,17480.0,0
2010-08-26,17510.0,17570.0,17590.0,17490.0,0
2010-08-27,17630.0,17800.0,17815.0,17625.0,0
2010-08-30,17780.0,17785.0,17890.0,17730.0,0
2010-08-31,17790.0,17910.0,17950.0,17790.0,0
2010-09-01,17895.0,17915.0,17930.0,17845.0,0
2010-09-02,18005.0,18185.0,18220.0,18000.0,0
2010-09-03,18400.0,18490.0,18495.0,18340.0,0
2010-09-06,18495.0,18790.0,18925.0,18450.0,0
2010-09-07,18830.0,18965.0,19055.0,18640.0,0
2010-09-08,19020.0,18855.0,19100.0,18780.0,0
2010-09-09,18890.0,18875.0,18935.0,18625.0,0
2010-09-10,18910.0,19305.0,19325.0,18840.0,0
2010-09-13,19310.0,19230.0,19375.0,19095.0,0
2010-09-14,19320.0,19510.0,19515.0,19310.0,0
2010-09-15,19630.0,19605.0,19830.0,19470.0,0
2010-09-16,19520.0,19520.0,19560.0,19370.0,0
2010-09-17,19695.0,19915.0,19945.0,19660.0,0
2010-09-20,20450.0,20600.0,20600.0,20365.0,0
2010-09-21,21190.0,21685.0,21725.0,20800.0,0
2010-09-27,22000.0,21635.0,22000.0,21220.0,0
2010-09-28,22040.0,22185.0,22235.0,21875.0,0
2010-09-29,22120.0,21280.0,22125.0,21175.0,0
2010-09-30,20960.0,21640.0,21675.0,20775.0,0
2010-10-08,22000.0,22600.0,22600.0,22000.0,0
2010-10-11,23800.0,23965.0,24280.0,23490.0,0
2010-10-12,23880.0,23510.0,23990.0,23250.0,0
2010-10-13,23510.0,23600.0,23720.0,23310.0,0
2010-10-14,23780.0,24480.0,24480.0,23465.0,0
2010-10-15,24680.0,24230.0,24680.0,23960.0,0
2010-10-18,23330.0,23750.0,23890.0,23330.0,0
2010-10-19,24050.0,23940.0,24345.0,23790.0,0
2010-10-20,23460.0,24390.0,24470.0,23350.0,0
2010-10-21,24800.0,24995.0,25045.0,24665.0,0
2010-10-22,24880.0,25145.0,25200.0,24780.0,0
2010-10-25,25880.0,26270.0,26270.0,25855.0,0
2010-10-26,27500.0,27135.0,27980.0,26800.0,0
2010-10-27,27880.0,26765.0,27910.0,26455.0,0
2010-10-28,26700.0,27825.0,27900.0,26700.0,0
2010-10-29,27295.0,27245.0,27610.0,26800.0,0
2010-11-01,28020.0,28510.0,28585.0,27710.0,0
2010-11-02,28560.0,28770.0,28900.0,28240.0,0
2010-11-03,29460.0,29715.0,29980.0,29280.0,0
2010-11-04,29650.0,29855.0,29920.0,29550.0,0
2010-11-05,30510.0,31235.0,31235.0,30505.0,0
2010-11-08,31400.0,32970.0,33295.0,31245.0,0
2010-11-09,33080.0,33005.0,33515.0,31960.0,0
2010-11-10,33520.0,32350.0,33720.0,32100.0,0
2010-11-11,31900.0,31345.0,32170.0,31345.0,0
2010-11-12,29330.0,29290.0,29700.0,29290.0,0
2010-11-15,27155.0,28120.0,28700.0,27150.0,0
2010-11-16,28360.0,28330.0,29285.0,27720.0,0
2010-11-17,27090.0,27090.0,28080.0,27090.0,0
2010-11-18,27300.0,27430.0,28300.0,26100.0,0
2010-11-19,28115.0,27180.0,28185.0,26460.0,0
2010-11-22,26185.0,25870.0,26900.0,25840.0,0
2010-11-23,26000.0,25225.0,26085.0,25125.0,0
2010-11-24,24930.0,25755.0,26025.0,24675.0,0
2010-11-25,25940.0,25270.0,25945.0,25220.0,0
2010-11-26,25380.0,24470.0,25420.0,24305.0,0
2010-11-29,24315.0,25130.0,25350.0,24170.0,0
2010-11-30,25140.0,25375.0,25400.0,24420.0,0
2010-12-01,25300.0,25300.0,25525.0,25030.0,0
2010-12-02,25995.0,26200.0,26370.0,25755.0,0
2010-12-03,26320.0,26655.0,27070.0,26320.0,0
2010-12-06,27200.0,26910.0,27510.0,26825.0,0
2010-12-07,27000.0,27300.0,27300.0,26550.0,0
2010-12-08,26920.0,26360.0,27020.0,26325.0,0
2010-12-09,26800.0,26375.0,26945.0,26200.0,0
2010-12-10,26785.0,26825.0,26885.0,26495.0,0
2010-12-13,26660.0,27535.0,27665.0,26620.0,0
2010-12-14,27880.0,28035.0,28165.0,27720.0,0
2010-12-15,27865.0,27395.0,27930.0,27385.0,0
2010-12-16,27500.0,27640.0,27890.0,27330.0,0
2010-12-17,27780.0,27835.0,28005.0,27660.0,0
2010-12-20,28120.0,28360.0,28595.0,28020.0,0
2010-12-21,28800.0,28905.0,28950.0,28545.0,0
2010-12-22,28700.0,27640.0,28775.0,27480.0,0
2010-12-23,27570.0,27800.0,27985.0,27355.0,0
2010-12-24,27805.0,27730.0,28010.0,27420.0,0
2010-12-27,27400.0,27635.0,27840.0,27400.0,0
2010-12-28,27750.0,27745.0,27820.0,27650.0,0
2010-12-29,27610.0,27645.0,27710.0,27100.0,0
2010-12-30,27390.0,27855.0,27880.0,27265.0,0
2010-12-31,27765.0,28270.0,28300.0,27680.0,0
2011-01-04,28175.0,28070.0,28250.0,27845.0,0
2011-01-05,28005.0,28160.0,28420.0,28005.0,0
2011-01-06,28345.0,28990.0,29005.0,28325.0,0
2011-01-07,28500.0,28035.0,28670.0,27885.0,0
2011-01-10,28230.0,28225.0,28480.0,28200.0,0
2011-01-11,28500.0,28585.0,28670.0,28450.0,0
2011-01-12,29100.0,28865.0,29170.0,28785.0,0
2011-01-13,29120.0,28780.0,29120.0,28730.0,0
2011-01-14,28420.0,28670.0,28685.0,28380.0,0
2011-01-17,28600.0,28820.0,28910.0,28510.0,0
2011-01-18,28750.0,28960.0,28990.0,28715.0,0
2011-01-19,29070.0,29390.0,29530.0,29070.0,0
2011-01-20,29300.0,29385.0,29560.0,29240.0,0
2011-01-21,29490.0,30510.0,30770.0,29475.0,0
